borough,borough_level,borough_latitude,borough_longitude
Barking and Dagenham,Outer,51.5607°N, 0.1557°E
Barnet,Outer,51.6252°N, 0.1517°W
Bexley,Outer,51.4549°N, 0.1505°E
Brent,Outer,51.5588°N, 0.2817°W
Bromley,Outer,51.3992°N, 0.0165°E
Camden,Inner,51.5290°N, 0.1255°W
Croydon,Outer,51.3714°N, 0.0977°W
Ealing,Outer,51.5130°N, 0.3089°W
Enfield,Outer,51.6538°N, 0.0799°W
Greenwich,Inner,51.4892°N, 0.0648°E
Hackney,Inner,51.5450°N, 0.0553°W
Hammersmith and Fulham,Inner,51.4927°N, 0.2339°W
Haringey,Outer,51.6000°N, 0.1119°W
Harrow,Outer,51.5898°N, 0.3346°W
Havering,Outer,51.5812°N, 0.1837°E
Hillingdon,Outer,51.5441°N, 0.4760°W
Hounslow,Outer,51.4746°N, 0.3680°W
Islington,Inner,51.5416°N, 0.1022°W
Kensington and Chelsea,Inner,51.5020°N, 0.1947°W
Kingston upon Thames,Outer,51.4085°N, 0.3064°W
Lambeth,Inner,51.4607°N, 0.1163°W
Lewisham,Inner,51.4452°N, 0.0209°W
Merton,Outer,51.4014°N, 0.1958°W
Newham,Outer,51.5077°N, 0.0469°E
Redbridge,Outer,51.5590°N, 0.0741°E
Richmond upon Thames,Outer,51.4479°N, 0.3260°W
Southwark,Inner,51.5035°N, 0.0804°W
Sutton,Outer,51.3618°N, 0.1945°W
Tower Hamlets,Inner,51.5099°N, 0.0059°W
Waltham Forest,Outer,51.5908°N, 0.0134°W
Wandsworth,Inner,51.4567°N, 0.1910°W
Westminster,Inner,51.4973°N, 0.1372°W
